,0
Afrique_np,Afrique_np
afrique:_LOCATION_np,Afrique_n
Amérique_du_Nord_np,Amérique_du_Nord_np
amérique_du_nord:_LOCATION_np,Amérique_du_Nord_n
arafat:_PERSON_f_np,arafat:_PERSON_f_np
arafat:_PERSON_m_np,Arafat_n
arafat:_PERSON_np,arafat:_PERSON_np
arafat:_LOCATION_np,arafat:_LOCATION_np
europe:_LOCATION_np,Europe_n
europe:_PERSON_np,europe:_PERSON_np
Europe_np,Europe_np
fbi:_ORGANIZATION_np,FBI_n
FBI_np,FBI_np
france:_PERSON_np,france:_PERSON_np
France_np,France_np
france:_COMPANY_np,france:_COMPANY_np
france:_LOCATION_np,France_n
freud:_PERSON_f_np,Freud_n
freud:_PERSON_m_np,freud:_PERSON_m_np
inde:_LOCATION_np,Inde_n
inde_nc,inde_nc
israël:_LOCATION_np,Israël_n
israël:_PERSON_np,israël:_PERSON_np
Israël_np,Israël_np
israël:_PERSON_m_np,israël:_PERSON_m_np
jupiter:_COMPANY_np,jupiter:_COMPANY_np
jupiter:_LOCATION_np,jupiter:_LOCATION_np
Jupiter_np,Jupiter_n
jérusalem:_LOCATION_np,Jérusalem_n
jérusalem:_ORGANIZATION_np,jérusalem:_ORGANIZATION_np
Jérusalem_np,Jérusalem_np
noël_nc,Noël_n
noël:_PERSON_np,noël:_PERSON_np
noël:_PERSON_m_np,noël:_PERSON_m_np
noël:_PERSON_f_np,noël:_PERSON_f_np
noël:_LOCATION_np,noël:_LOCATION_np
palestine:_LOCATION_np,Palestine_n
palestine:_PERSON_f_np,palestine:_PERSON_f_np
palestine:_ORGANIZATION_np,palestine:_ORGANIZATION_np
russie:_LOCATION_np,Russie_n
Russie_np,Russie_np
Sibérie_np,Sibérie_np
sibérie:_LOCATION_np,Sibérie_n
accident:_LOCATION_np,accident:_LOCATION_np
accident:_COMPANY_np,accident:_COMPANY_np
accident_nc,accident_n
accord:_COMPANY_np,accord:_COMPANY_np
accord_nc,accord_n
accord:_LOCATION_np,accord:_LOCATION_np
action:_ORGANIZATION_np,action:_ORGANIZATION_np
action_nc,action_n
année:_PERSON_m_np,année:_PERSON_m_np
année_nc,année_n
argent:_ORGANIZATION_np,argent:_ORGANIZATION_np
argent_nc,argent_n
armée:_ORGANIZATION_np,armée:_ORGANIZATION_np
armée:_PERSON_np,armée:_PERSON_np
armée_nc,armée_n
assurance_nc,assurance_n
assurance:_COMPANY_np,assurance:_COMPANY_np
aube_nc,aube_n
aube:_LOCATION_np,aube:_LOCATION_np
avion:_LOCATION_np,avion:_LOCATION_np
avion_nc,avion_n
avis:_COMPANY_np,avis:_COMPANY_np
avis_nc,avis_n
ballon:_LOCATION_np,ballon:_LOCATION_np
ballon_nc,ballon_n
ballon:_PERSON_np,ballon:_PERSON_np
bar:_PERSON_m_np,bar:_PERSON_m_np
bar_nc,bar_n
baseball:_PERSON_m_np,baseball:_PERSON_m_np
baseball_nc,baseball_n
bataille:_PERSON_f_np,bataille:_PERSON_f_np
bataille:_PERSON_m_np,bataille:_PERSON_m_np
bataille_nc,bataille_n
beauté:_LOCATION_np,beauté:_LOCATION_np
beauté_nc,beauté_n
bière_nc,bière_n
bière:_LOCATION_np,bière:_LOCATION_np
bois:_LOCATION_np,bois:_LOCATION_np
bois:_PERSON_f_np,bois:_PERSON_f_np
bois:_PERSON_m_np,bois:_PERSON_m_np
bois_nc,bois_n
bond:_PERSON_f_np,bond:_PERSON_f_np
bond:_PERSON_m_np,bond:_PERSON_m_np
bond_nc,bond_n
bonheur_nc,bonheur_n
bonheur:_PERSON_m_np,bonheur:_PERSON_m_np
boulon:_LOCATION_np,boulon:_LOCATION_np
boulon_nc,boulon_n
bouquet:_LOCATION_np,bouquet:_LOCATION_np
bouquet_nc,bouquet_n
bout:_PERSON_m_np,bout:_PERSON_m_np
bout_nc,bout_n
bridge:_LOCATION_np,bridge:_LOCATION_np
bridge_nc,bridge_n
buisson:_LOCATION_np,buisson:_LOCATION_np
buisson:_PERSON_m_np,buisson:_PERSON_m_np
buisson_nc,buisson_n
bulle:_LOCATION_np,bulle:_LOCATION_np
bulle_nc,bulle_n
bébé_nc,bébé_n
bébé:_PERSON_np,bébé:_PERSON_np
café:_LOCATION_np,café:_LOCATION_np
café_nc,café_n
cage_nc,cage_n
cage:_PERSON_m_np,cage:_PERSON_m_np
camarade_nc,camarade_n
camarade:_LOCATION_np,camarade:_LOCATION_np
camp:_PERSON_m_np,camp:_PERSON_m_np
camp_nc,camp_n
canon_nc,canon_n
canon:_LOCATION_np,canon:_LOCATION_np
canon:_COMPANY_np,canon:_COMPANY_np
canyon_nc,canyon_n
canyon:_LOCATION_np,canyon:_LOCATION_np
carbone:_PERSON_m_np,carbone:_PERSON_m_np
carbone_nc,carbone_n
carte:_PERSON_m_np,carte:_PERSON_m_np
carte_nc,carte_n
cause_nc,cause_n
cause:_LOCATION_np,cause:_LOCATION_np
cave_nc,cave_n
cave:_PERSON_m_np,cave:_PERSON_m_np
cellule_nc,cellule_n
cellule:_LOCATION_np,cellule:_LOCATION_np
chambre_nc,chambre_n
chambre:_PERSON_m_np,chambre:_PERSON_m_np
chambre:_LOCATION_np,chambre:_LOCATION_np
champagne:_PERSON_np,champagne:_PERSON_np
champagne:_PERSON_f_np,champagne:_PERSON_f_np
champagne:_LOCATION_np,champagne:_LOCATION_np
champagne_nc,champagne_n
champion:_LOCATION_np,champion:_LOCATION_np
champion:_COMPANY_np,champion:_COMPANY_np
champion:_PERSON_m_np,champion:_PERSON_m_np
champion_nc,champion_n
chance:_LOCATION_np,chance:_LOCATION_np
chance_nc,chance_n
chaos:_LOCATION_np,chaos:_LOCATION_np
chaos_nc,chaos_n
chapeau:_LOCATION_np,chapeau:_LOCATION_np
chapeau_nc,chapeau_n
chapelle:_LOCATION_np,chapelle:_LOCATION_np
chapelle_nc,chapelle_n
cheval:_LOCATION_np,cheval:_LOCATION_np
cheval_nc,cheval_n
chien:_LOCATION_np,chien:_LOCATION_np
chien_nc,chien_n
chimie:_LOCATION_np,chimie:_LOCATION_np
chimie_nc,chimie_n
choix:_LOCATION_np,choix:_LOCATION_np
choix_nc,choix_n
chute:_LOCATION_np,chute:_LOCATION_np
chute_nc,chute_n
chêne:_LOCATION_np,chêne:_LOCATION_np
chêne_nc,chêne_n
ciel:_COMPANY_np,chêne:_LOCATION_np
ciel:_LOCATION_np,ciel:_LOCATION_np
ciel_nc,ciel_n
clavier:_LOCATION_np,clavier:_LOCATION_np
clavier_nc,clavier_n
cognac:_LOCATION_np,cognac:_LOCATION_np
cognac_nc,cognac_n
coin:_LOCATION_np,coin:_LOCATION_np
coin_nc,coin_n
colline:_PERSON_m_np,colline:_PERSON_m_np
colline_nc,colline_n
colombe_nc,colombe_n
colombe:_LOCATION_np,colombe:_LOCATION_np
colonel_title,colonel_title
colonel_nc,colonel_n
commerce:_LOCATION_np,commerce:_LOCATION_np
commerce_nc,commerce_n
confort:_LOCATION_np,confort:_LOCATION_np
confort_nc,confort_n
contact:_ORGANIZATION_np,contact:_ORGANIZATION_np
contact_nc,contact_n
conte_nc,conte_n
conte:_LOCATION_np,conte:_LOCATION_np
continent_nc,continent_n
continent:_COMPANY_np,continent:_COMPANY_np
corne:_LOCATION_np,corne:_LOCATION_np
corne_nc,corne_n
corps:_LOCATION_np,corps:_LOCATION_np
corps_nc,corps_n
coupe:_PERSON_f_np,coupe:_PERSON_f_np
coupe_nc,coupe_n
cour:_ORGANIZATION_np,cour:_ORGANIZATION_np
cour_nc,cour_n
courant:_LOCATION_np,courant:_LOCATION_np
courant_nc,courant_n
cours:_LOCATION_np,cours:_LOCATION_np
cours_nc,cours_n
course:_LOCATION_np,course:_LOCATION_np
course_nc,course_n
cousin:_PERSON_np,cousin:_PERSON_np
cousin:_PERSON_m_np,cousin:_PERSON_m_np
cousin_nc,cousin_n
cousin:_PERSON_f_np,cousin:_PERSON_f_np
cristal:_LOCATION_np,cristal:_LOCATION_np
cristal_nc,cristal_n
critique:_ORGANIZATION_np,critique:_ORGANIZATION_np
critique_nc,critique_n
côte:_PERSON_np,côte:_PERSON_np
côte_nc,côte_n
danse_nc,danse_n
danse:_PERSON_m_np,danse:_PERSON_m_np
date:_PERSON_f_np,date:_PERSON_f_np
date_nc,date_n
devise:_LOCATION_np,devise:_LOCATION_np
devise_nc,devise_n
diamant_nc,diamant_n
diamant:_LOCATION_np,diamant:_LOCATION_np
dieu:_LOCATION_np,dieu:_LOCATION_np
dieu_nc,dieu_n
docteur_title,docteur_title
docteur_nc,docteur_n
dollar_nc,dollar_n
dollar:_PERSON_np,dollar:_PERSON_np
dollar:_COMPANY_np,dollar:_COMPANY_np
dune_nc,dune_n
dune:_LOCATION_np,dune:_LOCATION_np
enquête_nc,enquête_n
enquête:_ORGANIZATION_np,enquête:_ORGANIZATION_np
envie_nc,envie_n
envie:_LOCATION_np,envie:_LOCATION_np
esclave:_PERSON_m_np,esclave:_PERSON_m_np
esclave_nc,esclave_n
esprit:_ORGANIZATION_np,esprit:_ORGANIZATION_np
esprit_nc,esprit_n
espérance:_PERSON_np,espérance:_PERSON_np
espérance_nc,espérance_n
falaise_nc,falaise_n
falaise:_LOCATION_np,falaise:_LOCATION_np
faucon:_LOCATION_np,faucon:_LOCATION_np
faucon_nc,faucon_n
femme:_PERSON_np,femme:_PERSON_np
femme_nc,femme_n
fer:_ORGANIZATION_np,fer:_ORGANIZATION_np
fer_nc,fer_n
feuille:_LOCATION_np,feuille:_LOCATION_np
feuille_nc,feuille_n
fille:_ORGANIZATION_np,fille:_ORGANIZATION_np
fille_nc,fille_n
film:_LOCATION_np,film:_LOCATION_np
film_nc,film_n
flèche:_LOCATION_np,flèche:_LOCATION_np
flèche_nc,flèche_n
fontaine:_LOCATION_np,fontaine:_LOCATION_np
fontaine:_PERSON_f_np,fontaine:_PERSON_f_np
fontaine:_PERSON_m_np,fontaine:_PERSON_m_np
fontaine:_PERSON_np,fontaine:_PERSON_np
fontaine_nc,fontaine_n
football:_ORGANIZATION_np,football:_ORGANIZATION_np
football_nc,football_n
forêt_nc,forêt_n
forêt:_PERSON_m_np,forêt:_PERSON_m_np
forêt:_LOCATION_np,forêt:_LOCATION_np
front_nc,front_n
front:_LOCATION_np,front:_LOCATION_np
frère_nc,frère_n
frère:_PERSON_np,frère:_PERSON_np
frère:_PERSON_m_np,frère:_PERSON_m_np
fée:_LOCATION_np,fée:_LOCATION_np
fée_nc,fée_n
gars:_LOCATION_np,gars:_LOCATION_np
gars_nc,gars_n
gauche:_ORGANIZATION_np,gauche:_ORGANIZATION_np
gauche_nc,gauche_n
globe:_LOCATION_np,globe:_LOCATION_np
globe:_PERSON_np,globe:_PERSON_np
globe_nc,globe_n
golf:_LOCATION_np,golf:_LOCATION_np
golf_nc,golf_n
goujon:_PERSON_m_np,goujon:_PERSON_m_np
goujon:_COMPANY_np,goujon:_COMPANY_np
goujon_nc,goujon_n
gouverneur:_LOCATION_np,gouverneur:_LOCATION_np
gouverneur_nc,gouverneur_n
grange:_PERSON_np,grange:_PERSON_np
grange:_PERSON_m_np,grange:_PERSON_m_np
grange:_LOCATION_np,grange:_LOCATION_np
grange_nc,grange_n
groupe:_ORGANIZATION_np,groupe:_ORGANIZATION_np
groupe_nc,groupe_n
grue:_LOCATION_np,grue:_LOCATION_np
grue_nc,grue_n
guerre:_PERSON_m_np,guerre:_PERSON_m_np
guerre:_PERSON_np,guerre:_PERSON_np
guerre_nc,guerre_n
général:_PERSON_np,général:_PERSON_np
général_nc,général_n
index_nc,index_n
index:_COMPANY_np,index:_COMPANY_np
jaguar_nc,jaguar_n
jaguar:_COMPANY_np,jaguar:_COMPANY_np
jamais_adv,jamais_adv
jamais_advneg,jamais_b
jardin:_LOCATION_np,jardin:_LOCATION_np
jardin_nc,jardin_n
jardin:_PERSON_m_np,jardin:_PERSON_m_np
jet_nc,jet_n
jet:_ORGANIZATION_np,jet:_ORGANIZATION_np
lame_nc,lame_n
lame:_PRODUCT_np,lame:_PRODUCT_np
langue:_LOCATION_np,langue:_LOCATION_np
langue_nc,langue_n
ligne:_LOCATION_np,ligne:_LOCATION_np
ligne_nc,ligne_n
lion:_PERSON_m_np,lion:_PERSON_m_np
lion:_LOCATION_np,lion:_LOCATION_np
lion:_PERSON_np,lion:_PERSON_np
lion:_PRODUCT_np,lion:_PRODUCT_np
lion_nc,lion_n
lion:_PERSON_f_np,lion:_PERSON_f_np
livre:_LOCATION_np,livre:_LOCATION_np
livre_nc,livre_n
loi:_PERSON_f_np,loi:_PERSON_f_np
loi_nc,loi_n
lumière:_PERSON_np,lumière:_PERSON_np
lumière:_PERSON_m_np,lumière:_PERSON_m_np
lumière_nc,lumière_n
luxe:_LOCATION_np,luxe:_LOCATION_np
luxe_nc,luxe_n
maire:_PERSON_m_np,maire:_PERSON_m_np
maire_nc,maire_n
maison:_PERSON_m_np,maison:_PERSON_m_np
maison:_PERSON_np,maison:_PERSON_np
maison_nc,maison_n
marais:_LOCATION_np,marais:_LOCATION_np
marais:_COMPANY_np,marais:_COMPANY_np
marais:_PERSON_m_np,marais:_PERSON_m_np
marais_nc,marais_n
marais:_PERSON_np,marais:_PERSON_np
marchand:_PERSON_np,marchand:_PERSON_np
marchand_nc,marchand_n
marchand:_PERSON_f_np,marchand:_PERSON_f_np
marchand:_PERSON_m_np,marchand:_PERSON_m_np
marche:_ORGANIZATION_np,marche:_ORGANIZATION_np
marche:_PERSON_m_np,marche:_PERSON_m_np
marche_nc,marche_n
mariage_nc,mariage_n
mariage:_PERSON_m_np,mariage:_PERSON_m_np
marin_nc,marin_n
marin:_PERSON_m_np,marin:_PERSON_m_np
marin:_LOCATION_np,marin:_LOCATION_np
marine_nc,marine_n
marine:_PERSON_np,marine:_PERSON_np
marié:_PERSON_m_np,marié:_PERSON_m_np
marié_nc,marié_n
mars:_PERSON_m_np,mars:_PERSON_m_np
mars:_PERSON_f_np,mars:_PERSON_f_np
mars:_ORGANIZATION_np,mars:_ORGANIZATION_np
mars:_LOCATION_np,mars_n
mars:_PERSON_np,mars:_PERSON_np
mars_nc,mars_nc
marteau:_COMPANY_np,marteau:_COMPANY_np
marteau_nc,marteau_n
match_nc,match_n
match:_COMPANY_np,match:_COMPANY_np
match:_ORGANIZATION_np,match:_ORGANIZATION_np
matin_nc,matin_n
matin:_ORGANIZATION_np,matin:_ORGANIZATION_np
menu_nc,menu_n
menu:_PERSON_m_np,menu:_PERSON_m_np
mer_nc,mer_n
mer:_PERSON_m_np,mer:_PERSON_m_np
mer:_PERSON_np,mer:_PERSON_np
midi_nc,midi_n
midi:_PERSON_np,midi:_PERSON_np
midi:_LOCATION_np,midi:_LOCATION_np
ministre_nc,ministre_n
ministre:_PERSON_np,ministre:_PERSON_np
minuit:_PERSON_m_np,minuit:_PERSON_m_np
minuit_nc,minuit_n
minute:_ORGANIZATION_np,minute:_ORGANIZATION_np
minute_nc,minute_n
mode:_ORGANIZATION_np,mode:_ORGANIZATION_np
mode_nc,mode_n
moi:_PERSON_m_np,moi:_PERSON_m_np
moi_nc,moi_n
monde:_ORGANIZATION_np,monde:_ORGANIZATION_np
monde:_PERSON_np,monde:_PERSON_np
monde_nc,monde_n
monnaie_nc,monnaie_n
monnaie:_LOCATION_np,monnaie:_LOCATION_np
montagne_nc,montagne_n
montagne:_PERSON_np,montagne:_PERSON_np
montagne:_LOCATION_np,montagne:_LOCATION_np
mouton:_PERSON_m_np,mouton:_PERSON_m_np
mouton:_LOCATION_np,mouton:_LOCATION_np
mouton:_PERSON_np,mouton:_PERSON_np
mouton_nc,mouton_n
moyen:_LOCATION_np,moyen:_LOCATION_np
moyen_nc,moyen_n
nature:_ORGANIZATION_np,nature:_ORGANIZATION_np
nature_nc,nature_n
océan:_LOCATION_np,océan:_LOCATION_np
océan_nc,océan_n
opéra:_ORGANIZATION_np,opéra:_ORGANIZATION_np
opéra_nc,opéra_n
orgueil_nc,orgueil_n
orgueil:_LOCATION_np,orgueil:_LOCATION_np
paire:_PERSON_m_np,paire:_PERSON_m_np
paire_nc,paire_n
pan:_ORGANIZATION_np,pan:_ORGANIZATION_np
pan:_PRODUCT_np,pan:_PRODUCT_np
pan_nc,pan_n
parent:_LOCATION_np,parent:_LOCATION_np
parent_nc,parent_n
parti:_ORGANIZATION_np,parti:_ORGANIZATION_np
parti_nc,parti_n
peine:_LOCATION_np,peine:_LOCATION_np
peine_nc,peine_n
peintre_nc,peintre_n
peintre:_LOCATION_np,peintre:_LOCATION_np
perle_nc,perle_n
perle:_PERSON_m_np,perle:_PERSON_m_np
physique:_LOCATION_np,physique:_LOCATION_np
physique_nc,physique_n
pierre:_PERSON_f_np,pierre:_PERSON_f_np
pierre:_PERSON_m_np,pierre:_PERSON_m_np
pierre:_PERSON_np,pierre:_PERSON_np
pierre_nc,pierre_n
pilote:_ORGANIZATION_np,pilote:_ORGANIZATION_np
pilote_nc,pilote_n
place_nc,place_n
place:_PERSON_m_np,place:_PERSON_m_np
place:_PERSON_f_np,place:_PERSON_f_np
place:_PERSON_np,place:_PERSON_np
plaisir:_LOCATION_np,plaisir:_LOCATION_np
plaisir_nc,plaisir_n
plan_nc,plan_n
plan:_ORGANIZATION_np,plan:_ORGANIZATION_np
plant:_PERSON_m_np,plant:_PERSON_m_np
plant_nc,plant_n
plus_adv,plus_adv
plus_advneg,plus_b
point:_LOCATION_np,point:_LOCATION_np
point:_ORGANIZATION_np,point:_ORGANIZATION_np
point_nc,point_n
pommier:_LOCATION_np,pommier:_LOCATION_np
pommier_nc,pommier_n
pont_nc,pont_n
pont:_LOCATION_np,pont:_LOCATION_np
porte:_LOCATION_np,porte:_LOCATION_np
porte_nc,porte_n
premier:_PERSON_np,premier:_PERSON_np
premier_nc,premier_n
prestige:_COMPANY_np,prestige:_COMPANY_np
prestige:_PERSON_np,prestige:_PERSON_np
prestige_nc,prestige_n
prince:_COMPANY_np,prince:_COMPANY_np
prince:_LOCATION_np,prince:_LOCATION_np
prince:_PERSON_f_np,prince:_PERSON_f_np
prince:_PERSON_m_np,prince:_PERSON_m_np
prince:_PERSON_np,prince:_PERSON_np
prince_nc,prince_n
professeur_title,professeur_title
professeur_nc,professeur_n
projet:_ORGANIZATION_np,projet:_ORGANIZATION_np
projet_nc,projet_n
proton_nc,proton_n
proton:_COMPANY_np,proton:_COMPANY_np
puits:_LOCATION_np,puits:_LOCATION_np
puits_nc,puits_n
question:_ORGANIZATION_np,question:_ORGANIZATION_np
question_nc,question_n
racine_nc,racine_n
racine:_PERSON_f_np,racine:_PERSON_f_np
racine:_LOCATION_np,racine:_LOCATION_np
racine:_PERSON_m_np,racine:_PERSON_m_np
radis_nc,radis_n
radis:_LOCATION_np,radis:_LOCATION_np
raison:_PERSON_m_np,raison:_PERSON_m_np
raison_nc,raison_n
rang:_LOCATION_np,rang:_LOCATION_np
rang_nc,rang_n
rapport:_LOCATION_np,rapport:_LOCATION_np
rapport_nc,rapport_n
rayon:_LOCATION_np,rayon:_LOCATION_np
rayon_nc,rayon_n
reine_nc,reine_n
reine:_LOCATION_np,reine:_LOCATION_np
renard:_PERSON_f_np,renard:_PERSON_f_np
renard:_PERSON_m_np,renard:_PERSON_m_np
renard:_PERSON_np,renard:_PERSON_np
renard_nc,renard_n
rendez-vous:_LOCATION_np,rendez-vous:_LOCATION_np
rendez-vous_nc,rendez-vous_n
reste_nc,reste_n
reste:_PERSON_m_np,reste:_PERSON_m_np
rivière:_PERSON_f_np,rivière:_PERSON_f_np
rivière:_PERSON_m_np,rivière:_PERSON_m_np
rivière:_PERSON_np,rivière:_PERSON_np
rivière_nc,rivière_n
rivière:_LOCATION_np,rivière:_LOCATION_np
rose_nc,rose_n
rose:_PRODUCT_np,rose:_PRODUCT_np
rose:_PERSON_f_np,rose:_PERSON_f_np
rose:_PERSON_m_np,rose:_PERSON_m_np
rose:_LOCATION_np,rose:_LOCATION_np
rose:_PERSON_np,rose:_PERSON_np
royaume:_PERSON_np,royaume:_PERSON_np
royaume_nc,royaume_n
révolution:_ORGANIZATION_np,révolution:_ORGANIZATION_np
révolution_nc,révolution_n
saint:_LOCATION_np,saint:_LOCATION_np
saint:_PERSON_f_np,saint:_PERSON_f_np
saint_nc,saint_n
saint:_PERSON_m_np,saint:_PERSON_m_np
salle:_LOCATION_np,salle:_LOCATION_np
salle:_PERSON_m_np,salle:_PERSON_m_np
salle_nc,salle_n
sandwich:_LOCATION_np,sandwich:_LOCATION_np
sandwich_nc,sandwich_n
science_nc,science_n
science:_PERSON_m_np,science:_PERSON_m_np
science:_ORGANIZATION_np,science:_ORGANIZATION_np
secret:_PERSON_m_np,secret:_PERSON_m_np
secret_nc,secret_n
sens:_LOCATION_np,sens:_LOCATION_np
sens:_PERSON_m_np,sens:_PERSON_m_np
sens:_PERSON_np,sens:_PERSON_np
sens_nc,sens_n
sept:_ORGANIZATION_np,sept:_ORGANIZATION_np
sept_nc,sept_n
société:_ORGANIZATION_np,société:_ORGANIZATION_np
société:_PRODUCT_np,société:_PRODUCT_np
société_nc,société_n
soir:_ORGANIZATION_np,soir:_ORGANIZATION_np
soir_nc,soir_n
soleil_nc,soleil_n
soleil:_PERSON_np,soleil:_PERSON_np
soleil:_LOCATION_np,soleil:_LOCATION_np
soleil:_PERSON_m_np,soleil:_PERSON_m_np
son:_PERSON_m_np,son:_PERSON_m_np
son_nc,son_n
soupir:_LOCATION_np,soupir:_LOCATION_np
soupir_nc,soupir_n
sourire:_PERSON_np,sourire:_PERSON_np
sourire_nc,sourire_n
souris_nc,souris_n
souris:_LOCATION_np,souris:_LOCATION_np
stock:_COMPANY_np,stock:_COMPANY_np
stock:_LOCATION_np,stock:_LOCATION_np
stock_nc,stock_n
sucre:_LOCATION_np,sucre:_LOCATION_np
sucre:_PERSON_m_np,sucre:_PERSON_m_np
sucre_nc,sucre_n
surprise_nc,surprise_n
surprise:_LOCATION_np,surprise:_LOCATION_np
symbole_nc,symbole_n
symbole:_COMPANY_np,symbole:_COMPANY_np
sénat:_ORGANIZATION_np,sénat:_ORGANIZATION_np
sénat_nc,sénat_n
table:_LOCATION_np,table:_LOCATION_np
table_nc,table_n
temps:_ORGANIZATION_np,temps:_ORGANIZATION_np
temps_nc,temps_n
terme:_LOCATION_np,terme:_LOCATION_np
terme_nc,terme_n
terre_nc,terre_n
terre:_LOCATION_np,terre:_LOCATION_np
tigre:_LOCATION_np,tigre:_LOCATION_np
tigre:_ORGANIZATION_np,tigre:_ORGANIZATION_np
tigre:_PERSON_np,tigre:_PERSON_np
tigre_nc,tigre_n
tonnerre:_LOCATION_np,tonnerre:_LOCATION_np
tonnerre_nc,tonnerre_n
train_nc,train_n
train:_LOCATION_np,train:_LOCATION_np
travail:_PERSON_m_np,travail:_PERSON_m_np
travail_nc,travail_n
trente:_LOCATION_np,trente:_LOCATION_np
trente_nc,trente_n
trésor:_PERSON_m_np,trésor:_PERSON_m_np
trésor_nc,trésor_n
univers:_LOCATION_np,univers:_LOCATION_np
univers:_ORGANIZATION_np,univers:_ORGANIZATION_np
univers:_PERSON_np,univers:_PERSON_np
univers_nc,univers_n
vainqueur:_PERSON_m_np,vainqueur:_PERSON_m_np
vainqueur_nc,vainqueur_n
vallée:_PERSON_f_np,vallée:_PERSON_f_np
vallée:_PERSON_np,vallée:_PERSON_np
vallée_nc,vallée_n
victoire_nc,victoire_n
victoire:_PERSON_np,victoire:_PERSON_np
vie:_ORGANIZATION_np,vie:_ORGANIZATION_np
vie_nc,vie_n
village:_LOCATION_np,village:_LOCATION_np
village_nc,village_n
ville:_LOCATION_np,ville:_LOCATION_np
ville:_PERSON_m_np,ville:_PERSON_m_np
ville_nc,ville_n
visage:_PERSON_m_np,visage:_PERSON_m_np
visage_nc,visage_n
voiture:_PERSON_m_np,voiture:_PERSON_m_np
voiture_nc,voiture_n
voix:_PERSON_np,voix:_PERSON_np
voix_nc,voix_n
voyage:_ORGANIZATION_np,voyage:_ORGANIZATION_np
voyage_nc,voyage_n
vérité:_PERSON_np,vérité:_PERSON_np
vérité_nc,vérité_n